ch,sex,gender
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Female,0
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000001,Male,1
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Female,0
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000010,Male,1
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Female,0
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000011,Male,1
0000100,Female,0
0000100,Female,0
0000100,Female,0
0000100,Female,0
0000100,Female,0
0000100,Female,0
0000100,Female,0
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000100,Male,1
0000110,Female,0
0000110,Female,0
0000110,Female,0
0000110,Female,0
0000110,Female,0
0000110,Female,0
0000110,Male,1
0000110,Male,1
0000110,Male,1
0000111,Female,0
0000111,Female,0
0000111,Female,0
0000111,Female,0
0000111,Female,0
0000111,Female,0
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0000111,Male,1
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Female,0
0001000,Male,1
0001000,Male,1
0001000,Male,1
0001000,Male,1
0001000,Male,1
0001000,Male,1
0001001,Female,0
0001001,Male,1
0001011,Female,0
0001100,Female,0
0001100,Female,0
0001100,Female,0
0001100,Female,0
0001100,Female,0
0001100,Male,1
0001100,Male,1
0001100,Male,1
0001100,Male,1
0001100,Male,1
0001100,Male,1
0001110,Female,0
0001110,Female,0
0001110,Female,0
0001110,Female,0
0001110,Male,1
0001110,Male,1
0001110,Male,1
0001111,Female,0
0001111,Female,0
0001111,Male,1
0001111,Male,1
0001111,Male,1
0001111,Male,1
0001111,Male,1
0001111,Male,1
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Female,0
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010000,Male,1
0010110,Male,1
0011000,Female,0
0011000,Female,0
0011000,Female,0
0011000,Female,0
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011000,Male,1
0011100,Female,0
0011100,Female,0
0011100,Male,1
0011100,Male,1
0011100,Male,1
0011100,Male,1
0011110,Female,0
0011110,Male,1
0011111,Female,0
0011111,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Female,0
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0100000,Male,1
0110000,Female,0
0110000,Female,0
0110000,Female,0
0110000,Female,0
0110000,Male,1
0110000,Male,1
0110000,Male,1
0110000,Male,1
0110000,Male,1
0110000,Male,1
0110000,Male,1
0110110,Female,0
0111000,Female,0
0111000,Male,1
0111100,Female,0
0111100,Female,0
0111100,Male,1
0111110,Female,0
0111111,Female,0
0111111,Female,0
1000000,Female,0
1000000,Female,0
1000000,Female,0
1000000,Female,0
1000000,Male,1
1000000,Male,1
1000000,Male,1
1000000,Male,1
1000000,Male,1
1010000,Female,0
1010000,Male,1
1100000,Female,0
1100000,Female,0
1100000,Male,1
1100000,Male,1
1100000,Male,1
1100000,Male,1
1101110,Female,0
1111000,Female,0
1111000,Male,1
1111100,Female,0
1111110,Male,1