individual_id,ch,sex,gender,capture_1,capture_2,capture_3,capture_4,capture_5,capture_6,capture_7
dipper_001,0000001,Female,0,0,0,0,0,0,0,1
dipper_002,0000001,Female,0,0,0,0,0,0,0,1
dipper_003,0000001,Female,0,0,0,0,0,0,0,1
dipper_004,0000001,Female,0,0,0,0,0,0,0,1
dipper_005,0000001,Female,0,0,0,0,0,0,0,1
dipper_006,0000001,Female,0,0,0,0,0,0,0,1
dipper_007,0000001,Female,0,0,0,0,0,0,0,1
dipper_008,0000001,Female,0,0,0,0,0,0,0,1
dipper_009,0000001,Female,0,0,0,0,0,0,0,1
dipper_010,0000001,Female,0,0,0,0,0,0,0,1
dipper_011,0000001,Female,0,0,0,0,0,0,0,1
dipper_012,0000001,Female,0,0,0,0,0,0,0,1
dipper_013,0000001,Female,0,0,0,0,0,0,0,1
dipper_014,0000001,Female,0,0,0,0,0,0,0,1
dipper_015,0000001,Female,0,0,0,0,0,0,0,1
dipper_016,0000001,Female,0,0,0,0,0,0,0,1
dipper_017,0000001,Female,0,0,0,0,0,0,0,1
dipper_018,0000001,Female,0,0,0,0,0,0,0,1
dipper_019,0000001,Female,0,0,0,0,0,0,0,1
dipper_020,0000001,Female,0,0,0,0,0,0,0,1
dipper_021,0000001,Female,0,0,0,0,0,0,0,1
dipper_022,0000001,Female,0,0,0,0,0,0,0,1
dipper_023,0000001,Male,1,0,0,0,0,0,0,1
dipper_024,0000001,Male,1,0,0,0,0,0,0,1
dipper_025,0000001,Male,1,0,0,0,0,0,0,1
dipper_026,0000001,Male,1,0,0,0,0,0,0,1
dipper_027,0000001,Male,1,0,0,0,0,0,0,1
dipper_028,0000001,Male,1,0,0,0,0,0,0,1
dipper_029,0000001,Male,1,0,0,0,0,0,0,1
dipper_030,0000001,Male,1,0,0,0,0,0,0,1
dipper_031,0000001,Male,1,0,0,0,0,0,0,1
dipper_032,0000001,Male,1,0,0,0,0,0,0,1
dipper_033,0000001,Male,1,0,0,0,0,0,0,1
dipper_034,0000001,Male,1,0,0,0,0,0,0,1
dipper_035,0000001,Male,1,0,0,0,0,0,0,1
dipper_036,0000001,Male,1,0,0,0,0,0,0,1
dipper_037,0000001,Male,1,0,0,0,0,0,0,1
dipper_038,0000001,Male,1,0,0,0,0,0,0,1
dipper_039,0000001,Male,1,0,0,0,0,0,0,1
dipper_040,0000010,Female,0,0,0,0,0,0,1,0
dipper_041,0000010,Female,0,0,0,0,0,0,1,0
dipper_042,0000010,Female,0,0,0,0,0,0,1,0
dipper_043,0000010,Female,0,0,0,0,0,0,1,0
dipper_044,0000010,Female,0,0,0,0,0,0,1,0
dipper_045,0000010,Female,0,0,0,0,0,0,1,0
dipper_046,0000010,Female,0,0,0,0,0,0,1,0
dipper_047,0000010,Female,0,0,0,0,0,0,1,0
dipper_048,0000010,Female,0,0,0,0,0,0,1,0
dipper_049,0000010,Female,0,0,0,0,0,0,1,0
dipper_050,0000010,Female,0,0,0,0,0,0,1,0
dipper_051,0000010,Female,0,0,0,0,0,0,1,0
dipper_052,0000010,Male,1,0,0,0,0,0,1,0
dipper_053,0000010,Male,1,0,0,0,0,0,1,0
dipper_054,0000010,Male,1,0,0,0,0,0,1,0
dipper_055,0000010,Male,1,0,0,0,0,0,1,0
dipper_056,0000010,Male,1,0,0,0,0,0,1,0
dipper_057,0000010,Male,1,0,0,0,0,0,1,0
dipper_058,0000010,Male,1,0,0,0,0,0,1,0
dipper_059,0000010,Male,1,0,0,0,0,0,1,0
dipper_060,0000010,Male,1,0,0,0,0,0,1,0
dipper_061,0000010,Male,1,0,0,0,0,0,1,0
dipper_062,0000010,Male,1,0,0,0,0,0,1,0
dipper_063,0000011,Female,0,0,0,0,0,0,1,1
dipper_064,0000011,Female,0,0,0,0,0,0,1,1
dipper_065,0000011,Female,0,0,0,0,0,0,1,1
dipper_066,0000011,Female,0,0,0,0,0,0,1,1
dipper_067,0000011,Female,0,0,0,0,0,0,1,1
dipper_068,0000011,Female,0,0,0,0,0,0,1,1
dipper_069,0000011,Female,0,0,0,0,0,0,1,1
dipper_070,0000011,Female,0,0,0,0,0,0,1,1
dipper_071,0000011,Female,0,0,0,0,0,0,1,1
dipper_072,0000011,Female,0,0,0,0,0,0,1,1
dipper_073,0000011,Female,0,0,0,0,0,0,1,1
dipper_074,0000011,Male,1,0,0,0,0,0,1,1
dipper_075,0000011,Male,1,0,0,0,0,0,1,1
dipper_076,0000011,Male,1,0,0,0,0,0,1,1
dipper_077,0000011,Male,1,0,0,0,0,0,1,1
dipper_078,0000011,Male,1,0,0,0,0,0,1,1
dipper_079,0000011,Male,1,0,0,0,0,0,1,1
dipper_080,0000011,Male,1,0,0,0,0,0,1,1
dipper_081,0000011,Male,1,0,0,0,0,0,1,1
dipper_082,0000011,Male,1,0,0,0,0,0,1,1
dipper_083,0000011,Male,1,0,0,0,0,0,1,1
dipper_084,0000011,Male,1,0,0,0,0,0,1,1
dipper_085,0000011,Male,1,0,0,0,0,0,1,1
dipper_086,0000100,Female,0,0,0,0,0,1,0,0
dipper_087,0000100,Female,0,0,0,0,0,1,0,0
dipper_088,0000100,Female,0,0,0,0,0,1,0,0
dipper_089,0000100,Female,0,0,0,0,0,1,0,0
dipper_090,0000100,Female,0,0,0,0,0,1,0,0
dipper_091,0000100,Female,0,0,0,0,0,1,0,0
dipper_092,0000100,Female,0,0,0,0,0,1,0,0
dipper_093,0000100,Male,1,0,0,0,0,1,0,0
dipper_094,0000100,Male,1,0,0,0,0,1,0,0
dipper_095,0000100,Male,1,0,0,0,0,1,0,0
dipper_096,0000100,Male,1,0,0,0,0,1,0,0
dipper_097,0000100,Male,1,0,0,0,0,1,0,0
dipper_098,0000100,Male,1,0,0,0,0,1,0,0
dipper_099,0000100,Male,1,0,0,0,0,1,0,0
dipper_100,0000100,Male,1,0,0,0,0,1,0,0
dipper_101,0000100,Male,1,0,0,0,0,1,0,0
dipper_102,0000110,Female,0,0,0,0,0,1,1,0
dipper_103,0000110,Female,0,0,0,0,0,1,1,0
dipper_104,0000110,Female,0,0,0,0,0,1,1,0
dipper_105,0000110,Female,0,0,0,0,0,1,1,0
dipper_106,0000110,Female,0,0,0,0,0,1,1,0
dipper_107,0000110,Female,0,0,0,0,0,1,1,0
dipper_108,0000110,Male,1,0,0,0,0,1,1,0
dipper_109,0000110,Male,1,0,0,0,0,1,1,0
dipper_110,0000110,Male,1,0,0,0,0,1,1,0
dipper_111,0000111,Female,0,0,0,0,0,1,1,1
dipper_112,0000111,Female,0,0,0,0,0,1,1,1
dipper_113,0000111,Female,0,0,0,0,0,1,1,1
dipper_114,0000111,Female,0,0,0,0,0,1,1,1
dipper_115,0000111,Female,0,0,0,0,0,1,1,1
dipper_116,0000111,Female,0,0,0,0,0,1,1,1
dipper_117,0000111,Male,1,0,0,0,0,1,1,1
dipper_118,0000111,Male,1,0,0,0,0,1,1,1
dipper_119,0000111,Male,1,0,0,0,0,1,1,1
dipper_120,0000111,Male,1,0,0,0,0,1,1,1
dipper_121,0000111,Male,1,0,0,0,0,1,1,1
dipper_122,0000111,Male,1,0,0,0,0,1,1,1
dipper_123,0000111,Male,1,0,0,0,0,1,1,1
dipper_124,0000111,Male,1,0,0,0,0,1,1,1
dipper_125,0000111,Male,1,0,0,0,0,1,1,1
dipper_126,0000111,Male,1,0,0,0,0,1,1,1
dipper_127,0001000,Female,0,0,0,0,1,0,0,0
dipper_128,0001000,Female,0,0,0,0,1,0,0,0
dipper_129,0001000,Female,0,0,0,0,1,0,0,0
dipper_130,0001000,Female,0,0,0,0,1,0,0,0
dipper_131,0001000,Female,0,0,0,0,1,0,0,0
dipper_132,0001000,Female,0,0,0,0,1,0,0,0
dipper_133,0001000,Female,0,0,0,0,1,0,0,0
dipper_134,0001000,Female,0,0,0,0,1,0,0,0
dipper_135,0001000,Female,0,0,0,0,1,0,0,0
dipper_136,0001000,Female,0,0,0,0,1,0,0,0
dipper_137,0001000,Male,1,0,0,0,1,0,0,0
dipper_138,0001000,Male,1,0,0,0,1,0,0,0
dipper_139,0001000,Male,1,0,0,0,1,0,0,0
dipper_140,0001000,Male,1,0,0,0,1,0,0,0
dipper_141,0001000,Male,1,0,0,0,1,0,0,0
dipper_142,0001000,Male,1,0,0,0,1,0,0,0
dipper_143,0001001,Female,0,0,0,0,1,0,0,1
dipper_144,0001001,Male,1,0,0,0,1,0,0,1
dipper_145,0001011,Female,0,0,0,0,1,0,1,1
dipper_146,0001100,Female,0,0,0,0,1,1,0,0
dipper_147,0001100,Female,0,0,0,0,1,1,0,0
dipper_148,0001100,Female,0,0,0,0,1,1,0,0
dipper_149,0001100,Female,0,0,0,0,1,1,0,0
dipper_150,0001100,Female,0,0,0,0,1,1,0,0
dipper_151,0001100,Male,1,0,0,0,1,1,0,0
dipper_152,0001100,Male,1,0,0,0,1,1,0,0
dipper_153,0001100,Male,1,0,0,0,1,1,0,0
dipper_154,0001100,Male,1,0,0,0,1,1,0,0
dipper_155,0001100,Male,1,0,0,0,1,1,0,0
dipper_156,0001100,Male,1,0,0,0,1,1,0,0
dipper_157,0001110,Female,0,0,0,0,1,1,1,0
dipper_158,0001110,Female,0,0,0,0,1,1,1,0
dipper_159,0001110,Female,0,0,0,0,1,1,1,0
dipper_160,0001110,Female,0,0,0,0,1,1,1,0
dipper_161,0001110,Male,1,0,0,0,1,1,1,0
dipper_162,0001110,Male,1,0,0,0,1,1,1,0
dipper_163,0001110,Male,1,0,0,0,1,1,1,0
dipper_164,0001111,Female,0,0,0,0,1,1,1,1
dipper_165,0001111,Female,0,0,0,0,1,1,1,1
dipper_166,0001111,Male,1,0,0,0,1,1,1,1
dipper_167,0001111,Male,1,0,0,0,1,1,1,1
dipper_168,0001111,Male,1,0,0,0,1,1,1,1
dipper_169,0001111,Male,1,0,0,0,1,1,1,1
dipper_170,0001111,Male,1,0,0,0,1,1,1,1
dipper_171,0001111,Male,1,0,0,0,1,1,1,1
dipper_172,0010000,Female,0,0,0,1,0,0,0,0
dipper_173,0010000,Female,0,0,0,1,0,0,0,0
dipper_174,0010000,Female,0,0,0,1,0,0,0,0
dipper_175,0010000,Female,0,0,0,1,0,0,0,0
dipper_176,0010000,Female,0,0,0,1,0,0,0,0
dipper_177,0010000,Female,0,0,0,1,0,0,0,0
dipper_178,0010000,Female,0,0,0,1,0,0,0,0
dipper_179,0010000,Female,0,0,0,1,0,0,0,0
dipper_180,0010000,Female,0,0,0,1,0,0,0,0
dipper_181,0010000,Female,0,0,0,1,0,0,0,0
dipper_182,0010000,Female,0,0,0,1,0,0,0,0
dipper_183,0010000,Female,0,0,0,1,0,0,0,0
dipper_184,0010000,Female,0,0,0,1,0,0,0,0
dipper_185,0010000,Female,0,0,0,1,0,0,0,0
dipper_186,0010000,Female,0,0,0,1,0,0,0,0
dipper_187,0010000,Female,0,0,0,1,0,0,0,0
dipper_188,0010000,Female,0,0,0,1,0,0,0,0
dipper_189,0010000,Female,0,0,0,1,0,0,0,0
dipper_190,0010000,Male,1,0,0,1,0,0,0,0
dipper_191,0010000,Male,1,0,0,1,0,0,0,0
dipper_192,0010000,Male,1,0,0,1,0,0,0,0
dipper_193,0010000,Male,1,0,0,1,0,0,0,0
dipper_194,0010000,Male,1,0,0,1,0,0,0,0
dipper_195,0010000,Male,1,0,0,1,0,0,0,0
dipper_196,0010000,Male,1,0,0,1,0,0,0,0
dipper_197,0010000,Male,1,0,0,1,0,0,0,0
dipper_198,0010000,Male,1,0,0,1,0,0,0,0
dipper_199,0010000,Male,1,0,0,1,0,0,0,0
dipper_200,0010000,Male,1,0,0,1,0,0,0,0
dipper_201,0010110,Male,1,0,0,1,0,1,1,0
dipper_202,0011000,Female,0,0,0,1,1,0,0,0
dipper_203,0011000,Female,0,0,0,1,1,0,0,0
dipper_204,0011000,Female,0,0,0,1,1,0,0,0
dipper_205,0011000,Female,0,0,0,1,1,0,0,0
dipper_206,0011000,Male,1,0,0,1,1,0,0,0
dipper_207,0011000,Male,1,0,0,1,1,0,0,0
dipper_208,0011000,Male,1,0,0,1,1,0,0,0
dipper_209,0011000,Male,1,0,0,1,1,0,0,0
dipper_210,0011000,Male,1,0,0,1,1,0,0,0
dipper_211,0011000,Male,1,0,0,1,1,0,0,0
dipper_212,0011000,Male,1,0,0,1,1,0,0,0
dipper_213,0011000,Male,1,0,0,1,1,0,0,0
dipper_214,0011100,Female,0,0,0,1,1,1,0,0
dipper_215,0011100,Female,0,0,0,1,1,1,0,0
dipper_216,0011100,Male,1,0,0,1,1,1,0,0
dipper_217,0011100,Male,1,0,0,1,1,1,0,0
dipper_218,0011100,Male,1,0,0,1,1,1,0,0
dipper_219,0011100,Male,1,0,0,1,1,1,0,0
dipper_220,0011110,Female,0,0,0,1,1,1,1,0
dipper_221,0011110,Male,1,0,0,1,1,1,1,0
dipper_222,0011111,Female,0,0,0,1,1,1,1,1
dipper_223,0011111,Female,0,0,0,1,1,1,1,1
dipper_224,0100000,Female,0,0,1,0,0,0,0,0
dipper_225,0100000,Female,0,0,1,0,0,0,0,0
dipper_226,0100000,Female,0,0,1,0,0,0,0,0
dipper_227,0100000,Female,0,0,1,0,0,0,0,0
dipper_228,0100000,Female,0,0,1,0,0,0,0,0
dipper_229,0100000,Female,0,0,1,0,0,0,0,0
dipper_230,0100000,Female,0,0,1,0,0,0,0,0
dipper_231,0100000,Female,0,0,1,0,0,0,0,0
dipper_232,0100000,Female,0,0,1,0,0,0,0,0
dipper_233,0100000,Female,0,0,1,0,0,0,0,0
dipper_234,0100000,Female,0,0,1,0,0,0,0,0
dipper_235,0100000,Female,0,0,1,0,0,0,0,0
dipper_236,0100000,Female,0,0,1,0,0,0,0,0
dipper_237,0100000,Female,0,0,1,0,0,0,0,0
dipper_238,0100000,Female,0,0,1,0,0,0,0,0
dipper_239,0100000,Female,0,0,1,0,0,0,0,0
dipper_240,0100000,Female,0,0,1,0,0,0,0,0
dipper_241,0100000,Female,0,0,1,0,0,0,0,0
dipper_242,0100000,Male,1,0,1,0,0,0,0,0
dipper_243,0100000,Male,1,0,1,0,0,0,0,0
dipper_244,0100000,Male,1,0,1,0,0,0,0,0
dipper_245,0100000,Male,1,0,1,0,0,0,0,0
dipper_246,0100000,Male,1,0,1,0,0,0,0,0
dipper_247,0100000,Male,1,0,1,0,0,0,0,0
dipper_248,0100000,Male,1,0,1,0,0,0,0,0
dipper_249,0100000,Male,1,0,1,0,0,0,0,0
dipper_250,0100000,Male,1,0,1,0,0,0,0,0
dipper_251,0100000,Male,1,0,1,0,0,0,0,0
dipper_252,0100000,Male,1,0,1,0,0,0,0,0
dipper_253,0110000,Female,0,0,1,1,0,0,0,0
dipper_254,0110000,Female,0,0,1,1,0,0,0,0
dipper_255,0110000,Female,0,0,1,1,0,0,0,0
dipper_256,0110000,Female,0,0,1,1,0,0,0,0
dipper_257,0110000,Male,1,0,1,1,0,0,0,0
dipper_258,0110000,Male,1,0,1,1,0,0,0,0
dipper_259,0110000,Male,1,0,1,1,0,0,0,0
dipper_260,0110000,Male,1,0,1,1,0,0,0,0
dipper_261,0110000,Male,1,0,1,1,0,0,0,0
dipper_262,0110000,Male,1,0,1,1,0,0,0,0
dipper_263,0110000,Male,1,0,1,1,0,0,0,0
dipper_264,0110110,Female,0,0,1,1,0,1,1,0
dipper_265,0111000,Female,0,0,1,1,1,0,0,0
dipper_266,0111000,Male,1,0,1,1,1,0,0,0
dipper_267,0111100,Female,0,0,1,1,1,1,0,0
dipper_268,0111100,Female,0,0,1,1,1,1,0,0
dipper_269,0111100,Male,1,0,1,1,1,1,0,0
dipper_270,0111110,Female,0,0,1,1,1,1,1,0
dipper_271,0111111,Female,0,0,1,1,1,1,1,1
dipper_272,0111111,Female,0,0,1,1,1,1,1,1
dipper_273,1000000,Female,0,1,0,0,0,0,0,0
dipper_274,1000000,Female,0,1,0,0,0,0,0,0
dipper_275,1000000,Female,0,1,0,0,0,0,0,0
dipper_276,1000000,Female,0,1,0,0,0,0,0,0
dipper_277,1000000,Male,1,1,0,0,0,0,0,0
dipper_278,1000000,Male,1,1,0,0,0,0,0,0
dipper_279,1000000,Male,1,1,0,0,0,0,0,0
dipper_280,1000000,Male,1,1,0,0,0,0,0,0
dipper_281,1000000,Male,1,1,0,0,0,0,0,0
dipper_282,1010000,Female,0,1,0,1,0,0,0,0
dipper_283,1010000,Male,1,1,0,1,0,0,0,0
dipper_284,1100000,Female,0,1,1,0,0,0,0,0
dipper_285,1100000,Female,0,1,1,0,0,0,0,0
dipper_286,1100000,Male,1,1,1,0,0,0,0,0
dipper_287,1100000,Male,1,1,1,0,0,0,0,0
dipper_288,1100000,Male,1,1,1,0,0,0,0,0
dipper_289,1100000,Male,1,1,1,0,0,0,0,0
dipper_290,1101110,Female,0,1,1,0,1,1,1,0
dipper_291,1111000,Female,0,1,1,1,1,0,0,0
dipper_292,1111000,Male,1,1,1,1,1,0,0,0
dipper_293,1111100,Female,0,1,1,1,1,1,0,0
dipper_294,1111110,Male,1,1,1,1,1,1,1,0
