model_id,model_name,converged,log_likelihood,minus_log_likelihood,aic,qaic,qaicc,deviance,n_parameters,param_1,param_2,param_3,lambda_mean,lambda_std,lambda_median,lambda_min,lambda_max,lambda_q25,lambda_q75,formula_phi,formula_p,formula_f,phi_(Intercept),phi_(Intercept)_estimate,p_(Intercept),p_(Intercept)_estimate,f_(Intercept),f_(Intercept)_estimate,parameter_names,n_phi_params,n_p_params,n_f_params,parameter_structure,strategy_used,fit_time,random_seed,data_hash,param_4,f_gender,f_gender_estimate,f_age,f_age_estimate,f_tier_history,f_tier_history_estimate,param_5,phi_gender,phi_gender_estimate,param_6,phi_age,phi_age_estimate,phi_tier_history,phi_tier_history_estimate,param_7
1,φ(1) p(1) f(1),True,-7292.18457,7292.18457,14590.369141,14590.369141,14590.369141,14584.369141,3,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept),1,1,1,φ(1) p(1) f(1),hybrid_quick_refined,0.465092,42,f0588040,,,,,,,,,,,,,,,,
2,φ(1) p(1) f(gender),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.042077,43,f0588040,0.0,0.0,0.0,,,,,,,,,,,,,
3,φ(1) p(1) f(age),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_age,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.01241,44,f0588040,0.0,,,0.0,0.0,,,,,,,,,,,
4,φ(1) p(1) f(tier_history),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_tier_history,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.015837,45,f0588040,0.0,,,,,0.0,0.0,,,,,,,,,
5,φ(1) p(1) f(gender + age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender; f_age,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.088118,46,f0588040,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
6,φ(1) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender; f_tier_history,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.009666,47,f0588040,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,
7,φ(1) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_age; f_tier_history,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.009862,48,f0588040,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
8,φ(gender) p(1) f(1),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept),2,1,1,φ(2) p(1) f(1),hybrid_quick_refined,0.016781,49,f0588040,-2.393468,,,,,,,,0.0,0.0,,,,,,
9,φ(gender) p(1) f(gender),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.475397,50,f0588040,-2.393468,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,
10,φ(gender) p(1) f(age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_age,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006969,51,f0588040,-2.393468,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,
11,φ(gender) p(1) f(tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_tier_history,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006434,52,f0588040,-2.393468,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
12,φ(gender) p(1) f(gender + age),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender; f_age,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.050554,53,f0588040,-2.393468,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,
13,φ(gender) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007,54,f0588040,-2.393468,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
14,φ(gender) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_age; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007114,55,f0588040,-2.393468,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
15,φ(age) p(1) f(1),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept),2,1,1,φ(2) p(1) f(1),hybrid_quick_refined,0.01295,56,f0588040,-2.393468,,,,,,,,,,,0.0,0.0,,,
16,φ(age) p(1) f(gender),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.00692,57,f0588040,-2.393468,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,
17,φ(age) p(1) f(age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_age,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.682317,58,f0588040,-2.393468,,,0.0,0.0,,,0.0,,,,0.0,0.0,,,
18,φ(age) p(1) f(tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_tier_history,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.006927,59,f0588040,-2.393468,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,
19,φ(age) p(1) f(gender + age),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender; f_age,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.052811,60,f0588040,-2.393468,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,
20,φ(age) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_gender; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007113,61,f0588040,-2.393468,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,
21,φ(age) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14596.369141,14596.369141,14596.369141,14584.369141,6,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept); f_age; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_quick_refined,0.007164,62,f0588040,-2.393468,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,
22,φ(tier_history) p(1) f(1),True,-6158.575195,6158.575195,12325.150391,12325.150391,12325.150391,12317.150391,4,0.098559,832.000166,-0.937033,1.091313,0.0,1.091313,1.091313,1.091313,1.091313,1.091313,~1 + tier_history,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_tier_history; p_(Intercept); f_(Intercept),2,1,1,φ(2) p(1) f(1),hybrid_multistart_refined,0.07299,63,f0588040,-2.393468,,,,,,,,,,,,,832.000166,832.000166,
23,φ(tier_history) p(1) f(gender),True,-4704.382324,4704.382324,9418.764648,9418.764648,9418.764648,9408.764648,5,-0.124236,1.502718,-0.206772,1.088502,0.050158,1.097889,0.899272,1.16404,1.097889,1.097889,~1 + tier_history,~1,~1 + gender,-0.124236,-0.124236,-0.206772,-0.206772,-2.840201,-2.840201,phi_(Intercept); phi_tier_history; p_(Intercept); f_(Intercept); f_gender,2,1,2,φ(2) p(1) f(2),hybrid_multistart_refined,0.056269,64,f0588040,-2.840201,0.516279,0.516279,,,,,0.516279,,,,,,1.502718,1.502718,
24,φ(tier_history) p(1) f(age),True,-4704.382324,4704.382324,9418.764648,9418.764648,9418.764648,9408.764648,5,-0.124236,1.502718,-0.206772,807334062325760.0,1.641515562565632e+16,4112595.5,0.896636,6.683030272910295e+17,5004.723633,15907082240.0,~1 + tier_history,~1,~1 + age,-0.124236,-0.124236,-0.206772,-0.206772,-2.840201,-2.840201,phi_(Intercept); phi_tier_history; p_(Intercept); f_(Intercept); f_age,2,1,2,φ(2) p(1) f(2),hybrid_multistart_refined,0.034549,65,f0588040,-2.840201,,,0.516279,0.516279,,,0.516279,,,,,,1.502718,1.502718,
25,φ(tier_history) p(1) f(tier_history),True,-4704.382324,4704.382324,9418.764648,9418.764648,9418.764648,9408.764648,5,-0.124236,1.502718,-0.206772,inf,,inf,0.896636,inf,inf,inf,~1 + tier_history,~1,~1 + tier_history,-0.124236,-0.124236,-0.206772,-0.206772,-2.840201,-2.840201,phi_(Intercept); phi_tier_history; p_(Intercept); f_(Intercept); f_tier_history,2,1,2,φ(2) p(1) f(2),hybrid_multistart_refined,0.616351,66,f0588040,-2.840201,,,,,0.516279,0.516279,0.516279,,,,,,1.502718,1.502718,
